comparison,feature,rank_biserial,abs_effect,p_value
human_vs_ai_base,n_chars,1.0,1.0,3.0516816575011584e-09
human_vs_ai_base,n_words,1.0,1.0,3.0012200240382058e-09
human_vs_ai_base,type_token_ratio,-0.9965277777777778,0.9965277777777778,3.4727419076006437e-09
human_vs_ai_base,avg_word_len,-0.9027777777777778,0.9027777777777778,8.749609682345001e-08
human_vs_ai_base,quote_count,0.6128472222222223,0.6128472222222223,0.00015191092615435433
human_vs_ai_base,question_count,0.5989583333333333,0.5989583333333333,5.560964613711702e-05
human_vs_ai_base,fear_word_rate,-0.5347222222222222,0.5347222222222222,0.0015397047282140113
human_vs_ai_base,exclamation_count,0.45833333333333326,0.45833333333333326,0.0002242180862710697
human_vs_ai_base,ellipsis_count,-0.16666666666666663,0.16666666666666663,0.04094618352800978
human_vs_ai_finetuned,n_chars,1.0,1.0,3.0516816575011584e-09
human_vs_ai_finetuned,n_words,1.0,1.0,2.9835882958020666e-09
human_vs_ai_finetuned,type_token_ratio,-0.9965277777777778,0.9965277777777778,3.4727419076006437e-09
human_vs_ai_finetuned,avg_word_len,-0.8993055555555556,0.8993055555555556,9.811538330159386e-08
human_vs_ai_finetuned,quote_count,0.5972222222222223,0.5972222222222223,0.0002230215841398925
human_vs_ai_finetuned,question_count,0.5086805555555556,0.5086805555555556,0.0008695360704691038
human_vs_ai_finetuned,exclamation_count,0.45833333333333326,0.45833333333333326,0.0002242180862710697
human_vs_ai_finetuned,fear_word_rate,-0.4340277777777778,0.4340277777777778,0.01007543873547125
human_vs_ai_finetuned,ellipsis_count,-0.08333333333333337,0.08333333333333337,0.1616916776704811
